epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.61958,0.7392,2.65959,1.17846,0.008,1,0.44452,0.26641,0.79329,2.94386,1.11846,2e-05,2e-05,2e-05
2,13.2403,0.67715,2.61841,1.11558,0.008,1,0.61453,0.33861,0.74473,2.93325,1.10347,5.8812e-05,5.8812e-05,5.8812e-05
3,20.1753,0.80252,2.57964,1.18691,0.008,1,0.70647,0.41707,0.70682,2.93643,1.10259,9.604e-05,9.604e-05,9.604e-05
4,26.7184,0.68903,2.18058,1.15179,0.008,1,0.623,0.41263,0.73694,2.91831,1.12123,0.000131684,0.000131684,0.000131684
5,33.901,0.70845,1.81552,1.11143,0.008,1,0.57638,0.40458,0.7632,2.89142,1.14853,0.000165744,0.000165744,0.000165744
6,41.3402,0.77927,1.77734,1.1767,0.00733,0.91667,0.58033,0.40924,0.87984,2.7895,1.19617,0.00019822,0.00019822,0.00019822
7,47.5822,0.54917,1.34284,0.9698,0.33759,0.5,0.48885,0.32424,0.90785,2.86068,1.25662,0.000229112,0.000229112,0.000229112
8,53.5665,0.63848,1.15123,1.01598,0.62732,0.25,0.34885,0.19183,1.16092,3.0408,1.41186,0.00025842,0.00025842,0.00025842
9,60.3845,0.75126,1.19843,1.1019,0.008,1,0.33123,0.17296,1.28882,3.17683,1.51066,0.000286144,0.000286144,0.000286144
10,68.4431,0.70209,1.1292,1.08733,0.008,1,0.29031,0.12705,1.52872,3.32067,1.60378,0.000312284,0.000312284,0.000312284
11,75.452,0.72617,1.26431,1.08342,0.00667,0.83333,0.21964,0.09159,1.79741,3.43498,1.81324,0.00033684,0.00033684,0.00033684
12,82.4161,0.63579,1.5245,1.03925,0.00667,0.83333,0.20144,0.09535,1.74364,3.46156,1.83023,0.000359812,0.000359812,0.000359812
13,89.557,0.56398,1.02466,0.9493,0.00667,0.83333,0.28169,0.22621,1.31159,3.1837,1.51085,0.0003812,0.0003812,0.0003812
14,95.6949,0.68678,1.09933,1.02743,0.00667,0.83333,0.36781,0.26943,1.22284,3.05301,1.39641,0.000401004,0.000401004,0.000401004
15,102.45,0.53147,1.24876,0.97647,0.86388,0.33333,0.44796,0.34288,1.1711,2.85344,1.3396,0.000419224,0.000419224,0.000419224
16,108.88,0.64783,1.65987,1.1313,1,0.35372,0.48382,0.35479,1.21878,2.74839,1.34433,0.00043586,0.00043586,0.00043586
17,116.464,0.707,1.14987,1.08834,1,0.36008,0.51825,0.3651,1.35212,2.69587,1.37674,0.000450912,0.000450912,0.000450912
18,123.586,0.87007,1.34776,1.17546,1,0.3856,0.56907,0.39419,1.49788,2.59364,1.43855,0.00046438,0.00046438,0.00046438
19,130.195,0.64742,1.18226,1.07167,1,0.47526,0.5902,0.39402,1.53938,2.52454,1.48979,0.000476264,0.000476264,0.000476264
20,136.595,0.62517,1.08298,0.93644,1,0.48604,0.59347,0.35229,1.51786,2.45171,1.53541,0.000486564,0.000486564,0.000486564
21,142.945,0.82462,1.50342,1.03661,0.85977,0.5,0.58484,0.3937,1.52011,2.30412,1.49744,0.00049528,0.00049528,0.00049528
22,150.203,0.56868,1.19426,1.05566,0.79137,0.5,0.569,0.37555,1.59926,2.27936,1.57799,0.000502412,0.000502412,0.000502412
23,158.639,0.54711,0.92295,0.93095,0.8559,0.49565,0.54203,0.34992,1.56935,2.28043,1.52673,0.00050796,0.00050796,0.00050796
24,166.541,0.72582,1.22474,1.05992,0.85283,0.4849,0.54786,0.34232,1.50289,2.30028,1.46078,0.000511924,0.000511924,0.000511924
25,174.72,0.62654,0.89211,1.02816,0.74152,0.4802,0.46325,0.29644,1.48293,2.3437,1.46527,0.000514304,0.000514304,0.000514304
26,183.54,0.57567,1.0986,0.98115,0.68057,0.41667,0.40987,0.27404,1.46695,2.36346,1.48465,0.0005151,0.0005151,0.0005151
27,190.742,0.48064,0.96417,0.87934,0.85392,0.48871,0.54994,0.38492,1.42396,2.20411,1.45955,0.000514312,0.000514312,0.000514312
28,199.195,0.54359,0.89187,0.95476,0.85392,0.48871,0.54994,0.38492,1.42396,2.20411,1.45955,0.00051194,0.00051194,0.00051194
29,208.03,0.6211,0.94922,1.004,0.85172,0.5,0.54926,0.38449,1.45459,2.21345,1.49053,0.000507984,0.000507984,0.000507984
30,216.204,0.5088,0.85435,0.94536,0.96876,0.5,0.52233,0.39505,1.48474,2.2224,1.48086,0.000502444,0.000502444,0.000502444
31,223.829,0.71044,1.0154,1.05606,0.96876,0.5,0.52233,0.39505,1.48474,2.2224,1.48086,0.00049532,0.00049532,0.00049532
32,232.115,0.61654,0.87328,0.97636,0.94653,0.5,0.51386,0.36232,1.48434,2.17699,1.47218,0.000486612,0.000486612,0.000486612
33,239.186,0.54824,0.78834,0.97033,0.81396,0.5,0.49884,0.3604,1.55704,2.13635,1.50105,0.00047632,0.00047632,0.00047632
34,245.828,0.59957,0.91131,0.96081,0.81396,0.5,0.49884,0.3604,1.55704,2.13635,1.50105,0.000464444,0.000464444,0.000464444
35,252.19,0.53699,0.91172,1.07553,0.82235,0.5,0.478,0.29954,1.59254,2.23269,1.53299,0.000450984,0.000450984,0.000450984
36,258.575,0.60449,0.94993,0.93608,0.78936,0.5,0.48043,0.31616,1.57037,2.28979,1.53015,0.00043594,0.00043594,0.00043594
37,264.892,0.58588,0.78457,0.91928,0.78936,0.5,0.48043,0.31616,1.57037,2.28979,1.53015,0.000419312,0.000419312,0.000419312
38,271.497,0.58004,1.02347,0.99731,0.8049,0.5,0.49113,0.32168,1.57193,2.36731,1.53435,0.0004011,0.0004011,0.0004011
39,278.157,0.46164,0.85194,0.96344,0.82618,0.5,0.51296,0.32663,1.54144,2.30642,1.49209,0.000381304,0.000381304,0.000381304
40,284.416,0.48117,0.80468,0.89574,0.82618,0.5,0.51296,0.32663,1.54144,2.30642,1.49209,0.000359924,0.000359924,0.000359924
41,292.659,0.58986,1.56455,0.96164,0.97454,0.5,0.53823,0.3659,1.49452,2.27423,1.47518,0.00033696,0.00033696,0.00033696
42,300.998,0.44619,1.21339,0.85611,0.96432,0.5,0.55079,0.41107,1.45805,2.28849,1.45746,0.000312412,0.000312412,0.000312412
43,308.645,0.35394,1.17247,0.94356,0.96432,0.5,0.55079,0.41107,1.45805,2.28849,1.45746,0.00028628,0.00028628,0.00028628
44,315.541,0.46142,1.12632,0.90539,0.96449,0.5,0.54681,0.40337,1.4584,2.30275,1.44436,0.000258564,0.000258564,0.000258564
45,322.644,0.53139,1.22388,0.9318,0.96449,0.5,0.54681,0.40337,1.4584,2.30275,1.44436,0.000229264,0.000229264,0.000229264
46,329.473,0.53095,1.34699,0.92571,0.96523,0.5,0.5391,0.40061,1.43032,2.27464,1.40602,0.00019838,0.00019838,0.00019838
47,336.448,0.44382,1.09374,0.90667,0.96523,0.5,0.5391,0.40061,1.43032,2.27464,1.40602,0.000165912,0.000165912,0.000165912
48,343.594,0.46105,1.23493,0.90212,0.97364,0.5,0.5522,0.40558,1.3853,2.22185,1.36388,0.00013186,0.00013186,0.00013186
49,350.549,0.44972,1.29655,0.91351,0.97364,0.5,0.5522,0.40558,1.3853,2.22185,1.36388,9.6224e-05,9.6224e-05,9.6224e-05
50,357.481,0.39291,1.14323,0.92144,1,0.56998,0.58966,0.42739,1.34749,2.16875,1.33256,5.9004e-05,5.9004e-05,5.9004e-05
