epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.69684,0.77919,1.20926,1.22173,0.63081,0.42796,0.47447,0.28512,1.29615,2.00488,1.54313,4e-05,4e-05,4e-05
2,4.0072,0.72876,1.30857,1.15028,0.89512,0.5625,0.64193,0.42877,1.1287,1.72213,1.36395,9.901e-05,9.901e-05,9.901e-05
3,5.18852,0.65651,0.87175,1.07795,0.63511,0.87048,0.74729,0.42836,1.24899,1.56899,1.39329,0.000156832,0.000156832,0.000156832
4,6.26893,0.69746,0.80357,1.09085,0.71969,0.8125,0.76448,0.45195,1.21322,1.51878,1.3739,0.000213466,0.000213466,0.000213466
5,7.40182,0.66338,0.78451,1.00386,0.8566,0.74689,0.85424,0.59612,1.01635,1.12135,1.27904,0.000268912,0.000268912,0.000268912
6,8.47607,0.60999,0.75564,0.99642,0.9965,0.625,0.80549,0.55688,1.08797,1.17797,1.30525,0.00032317,0.00032317,0.00032317
7,9.51348,0.61548,0.72729,0.97911,1,0.62212,0.77932,0.50435,1.17376,1.18754,1.32223,0.00037624,0.00037624,0.00037624
8,10.5706,0.67103,0.78896,1.03007,1,0.61999,0.76758,0.49842,1.17964,1.20287,1.3165,0.000428122,0.000428122,0.000428122
9,11.8551,0.60868,0.68485,0.96074,0.82757,0.6875,0.74659,0.4795,1.24188,1.26054,1.34445,0.000478816,0.000478816,0.000478816
10,12.9125,0.67795,0.71661,0.98456,0.81206,0.6875,0.75067,0.46762,1.28876,1.29479,1.35644,0.000528322,0.000528322,0.000528322
11,13.995,0.56678,0.63453,0.93034,0.90967,0.6875,0.74177,0.40415,1.38612,1.46302,1.46266,0.00057664,0.00057664,0.00057664
12,15.1093,0.57489,0.65085,0.95998,0.98803,0.625,0.72023,0.40281,1.369,1.51016,1.49218,0.00062377,0.00062377,0.00062377
13,16.2812,0.57623,0.67658,0.9188,0.98174,0.625,0.7182,0.43575,1.44397,1.43993,1.60405,0.000669712,0.000669712,0.000669712
14,17.5203,0.5776,0.71612,0.94968,0.98407,0.625,0.72752,0.45766,1.49562,1.46892,1.63929,0.000714466,0.000714466,0.000714466
15,18.9892,0.63176,0.70247,1.00699,0.98211,0.625,0.68918,0.43865,1.541,1.38511,1.63699,0.000758032,0.000758032,0.000758032
16,20.4104,0.65789,0.67224,0.96457,0.89616,0.625,0.67483,0.39113,1.56649,1.41039,1.62934,0.00080041,0.00080041,0.00080041
17,21.7363,0.6649,0.71145,0.9881,0.89607,0.625,0.6699,0.37972,1.53575,1.41937,1.58147,0.0008416,0.0008416,0.0008416
18,23.4156,0.59671,0.68959,0.95854,0.8986,0.625,0.66818,0.41971,1.46951,1.33021,1.43896,0.000881602,0.000881602,0.000881602
19,25.1514,0.57799,0.64925,0.94723,0.89805,0.625,0.72367,0.49245,1.26623,1.16837,1.34546,0.000920416,0.000920416,0.000920416
20,27.0205,0.63332,0.71973,0.95971,0.98983,0.6875,0.7416,0.5293,1.15373,1.16485,1.28014,0.000958042,0.000958042,0.000958042
21,28.641,0.59342,0.68718,0.93621,0.99175,0.6875,0.74222,0.50513,1.16202,1.28532,1.32585,0.00099448,0.00099448,0.00099448
22,30.1945,0.672,0.63627,0.9539,0.99221,0.6875,0.73916,0.5087,1.14932,1.43354,1.38713,0.00102973,0.00102973,0.00102973
23,31.7906,0.60679,0.69814,0.94212,0.9873,0.6875,0.71401,0.47486,1.18774,1.39151,1.37525,0.00106379,0.00106379,0.00106379
24,33.4601,0.66443,0.7833,1.06473,0.99563,0.6875,0.68713,0.4861,1.11181,1.40999,1.32776,0.00109667,0.00109667,0.00109667
25,34.9211,0.64322,0.63243,0.93975,0.88923,0.625,0.65663,0.43498,1.14192,1.32061,1.32736,0.00112835,0.00112835,0.00112835
26,36.5876,0.54337,0.5822,0.91438,0.89786,0.625,0.64857,0.44088,1.21767,1.34412,1.37934,0.00115885,0.00115885,0.00115885
27,38.0518,0.61547,0.61493,0.96656,0.98193,0.625,0.64486,0.46586,1.20355,1.25558,1.36524,0.00118816,0.00118816,0.00118816
28,39.7118,0.56226,0.62188,0.9131,0.98707,0.625,0.63207,0.47166,1.28101,1.30442,1.43317,0.00121628,0.00121628,0.00121628
29,41.2946,0.58799,0.67943,0.92657,0.98707,0.625,0.63207,0.47166,1.28101,1.30442,1.43317,0.00124322,0.00124322,0.00124322
30,43.3142,0.64508,0.68051,0.99357,0.99066,0.625,0.6329,0.48702,1.27068,1.29181,1.4216,0.00126896,0.00126896,0.00126896
31,45.2233,0.60753,0.72263,0.95474,0.98825,0.625,0.6476,0.46525,1.26067,1.42552,1.42177,0.00129352,0.00129352,0.00129352
32,46.9809,0.55092,0.56742,0.92812,0.98471,0.625,0.64909,0.45038,1.24348,1.5732,1.40703,0.00131689,0.00131689,0.00131689
33,48.6144,0.56741,0.62034,0.95632,0.98471,0.625,0.64909,0.45038,1.24348,1.5732,1.40703,0.00133907,0.00133907,0.00133907
34,50.1239,0.59633,0.6779,0.93666,0.62512,0.5625,0.5353,0.36574,1.43271,1.92885,1.48947,0.0013466,0.0013466,0.0013466
35,51.5713,0.51808,0.56319,0.92321,0.77967,0.5625,0.51257,0.33641,1.39244,1.93616,1.43277,0.0013268,0.0013268,0.0013268
36,52.873,0.55347,0.63153,0.96895,0.44979,0.5625,0.43271,0.33116,1.46995,2.24753,1.55743,0.001307,0.001307,0.001307
37,53.9592,0.53341,0.53229,0.90415,0.44979,0.5625,0.43271,0.33116,1.46995,2.24753,1.55743,0.0012872,0.0012872,0.0012872
38,55.038,0.657,0.67133,1.01815,0.62804,0.5625,0.45508,0.31616,1.45987,2.13829,1.48822,0.0012674,0.0012674,0.0012674
39,56.0871,0.58911,0.58895,0.95234,0.76433,0.625,0.58655,0.43577,1.35902,1.74595,1.4382,0.0012476,0.0012476,0.0012476
40,57.1364,0.56957,0.5855,0.96389,0.88964,0.625,0.61415,0.44871,1.31118,1.63182,1.44647,0.0012278,0.0012278,0.0012278
